SEQUENCE_NUMBER,PATH,TERMINATOR_WAYPOINT,TRACK,DISTANCE,ALTITUDE,SPEED,NAV_SPEC
1,IF,AGAVA,,,FL190,280,RNAV
2,TF,ELKIR,092.3,11,FL170,,RNAV
3,TF,AMSOS,092.5,16.5,,250,RNAV
4,TF,WA593,092.8,7.1,,250,RNAV
5,TF,INSEX,024.0,5,FL100,,RNAV
6,TF,WA564,341.9,7.3,,220,RNAV
7,TF,XEMRO,341.9,7.4,,220,RNAV
8,TF,PIVIP,341.9,8.3,,220,RNAV
9,TF,UMTIX,061.5,7,,,RNAV
10,TF,OTMUL,151.7,8.2,,220,RNAV
11,TF,NEGEN,151.8,4,,,RNAV
12,TF,BARNA,151.8,4,,220,RNAV
13,TF,WA536,061.9,5,,,RNAV
14,TF,WA534,331.9,4,,,RNAV
15,TF,WA533,331.9,4,,,RNAV
16,TF,ERLEG,331.9,2.9,,,RNAV
17,TF,FAP/FAF,331.8,1.5,ALT3000,,RNAV
