"SEQUENCE_NUMBER","PATH","TERMINATOR_WAYPOINT","TRACK","DISTANCE","ALTITUDE","SPEED","NAV_SPEC"
1,"IF","LIMVI",,,"FL150",280,"RNAV"
2,"TF","RILET","351.5","9.8",,,"RNAV"
3,"TF","DETOR","351.5","7.6",,250,"RNAV"
4,"TF","WA594","351.5","8.1",,,"RNAV"
5,"TF","IPSIM","271.4","4.1","FL110",220,"RNAV"
6,"TF","PISEN","270.0","6.6",,220,"RNAV"
7,"TF","BEXON","242.0","5.7",,,"RNAV"
8,"TF","ADINI","151.9","7.8",,220,"RNAV"
9,"TF","SISLU","152.0",4,,,"RNAV"
10,"TF","LEMBU","152.0",4,,,"RNAV"
11,"TF","NUTSO","152.0",4,,220,"RNAV"
12,"TF","WA537","242.1",5,,,"RNAV"
13,"TF","WA536","332.0",4,,,"RNAV"
14,"TF","WA534","331.9",4,,,"RNAV"
15,"TF","WA533","331.9",4,,,"RNAV"
16,"TF","ERLEG","331.9","2.9",,,"RNAV"
17,"TF","FAP/FAF","331.8","1.5","ALT3000",,"RNAV"
