"SEQUENCE_NUMBER","PATH","TERMINATOR_WAYPOINT","TRACK","DISTANCE","ALTITUDE","SPEED","NAV_SPEC",,,
1,"IF","LOGDA",,,"FL190",280,"RNAV",,,
2,"TF","WA593","23.9","17.8",,250,"RNAV",,,
3,"TF","INSEX",24,5,"FL100",,"RNAV",,,
4,"TF","WA564","341.9","7.3",,220,"RNAV",,,
5,"TF","XEMRO","341.9","7.4",,220,"RNAV",,,
6,"TF","PIVIP","341.9","8.3",,220,"RNAV",,,
7,"TF","UMTIX","61.5",7,,,"RNAV",,,
8,"TF","OTMUL","151.7","8.2",,220,"RNAV",,,
9,"TF","NEGEN","151.8",4,,,"RNAV",,,
10,"TF","BARNA","151.8",4,,220,"RNAV",,,
11,"TF","WA536","61.9",5,,,"RNAV",,,
12,"TF","WA534","331.9",4,,,"RNAV",,,
13,"TF","WA533","331.9",4,,,"RNAV",,,
14,"TF","ERLEG","331.9","2.9",,,"RNAV",,,
15,"TF","FAP/FAF","331.8","1.5","ALT3000",200,"RNAV",,,1
