"WAYPOINT_IDENTIFIER","LAT","LON"
"ADINI","52°00’33.3”N","021°15’22.6”E"
"AGAVA","51°34’53.1”N","019°57’38.7”E"
"ARFEP","51°33’56.0”N","020°26’43.1”E"
"BIMPA","52°22’27.8”N","019°46’29.0”E"
"BUWAS","52°10’47.0”N","021°47’06.8”E"
"EMCEL","51°41’08.0”N","020°54’35.0”E"
"ENZAM","52°12’05.0”N","021°33’17.0”E"
"ERLEG","52°00’47.2”N","021°06’00.2”E"
"FOLFA","51°46’37.1”N","020°57’27.4”E"
"KEWLU","52°30’45.0”N","020°20’33.0”E"
"KUGEB","51°59’11.0”N","020°47’01.0”E"
"LEMBU","51°53’29.2”N","021°21’27.4”E"
"LIMVI","51°44’42.0”N","021°41’08.0”E"
"LOGDA","51°17’04.0”N","020°41’38.0”E"
"MAWBI","51°53’00.3”N","020°52’09.8”E"
"MENCI","52°23’18.9”N","020°41’50.0”E"
"NEGEN","51°52’18.7”N","021°04’10.8”E"
"NEPOX","52°09’33.0”N","021°59’57.1”E"
"OTMUL","51°55’50.7”N","021°01’07.0”E"
"REBSO","52°16’16.0”N","021°01’43.7”E"
"SISLU","51°57’00.9”N","021°18’25.5”E"
"SOFUZ","52°09’09.0”N","021°07’52.0”E"
"SORIX","52°41’43.0”N","019°49’12.0”E"
"VAWKU","52°12’06.0”N","021°18’29.0”E"
"VEKPE","52°01’58.0”N","020°55’43.0”E"
"VIXLO","51°34’19.4”N","020°15’13.8”E"
"VIXLO","51°34’19.4”N","020°15’13.8”E"
"WA533","51°58’11.5”N","021°08’15.1”E"
"WA534","51°54’40.1”N","021°11’17.8”E"
"WA536","51°51’08.5”N","021°14’20.0”E"
"WA821","51°28’54.3”N","020°47’58.4”E"
"WA884","51°58’28.1”N","021°37’12.4”E"
"FAP/FAF","52°02’06.8”N","021°04’51.0”E"
